City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,atherton,53.5237,-2.4935,293.97,68,100,0.89,GB,1721243550
127,kavaratti,10.5669,72.642,300.24,84,100,9.85,IN,1721243552
128,vorgashor,67.5833,63.95,289.19,84,100,1.69,RU,1721243553
129,shingu,33.7333,135.9833,297.07,89,97,2.6,JP,1721243554
130,cururupu,-1.8283,-44.8683,300.69,68,96,1.29,BR,1721243555
131,port alfred,-33.5906,26.891,287.14,87,100,4.79,ZA,1721243556
132,tura,25.5198,90.2201,298.71,92,100,1.19,IN,1721243557
133,wenzhou,27.9994,120.6668,300.66,82,26,0.59,CN,1721243558
134,walla walla,46.0646,-118.343,309.74,24,100,1.34,US,1721243559
135,chela,34.069,104.4619,285.64,92,0,1.46,CN,1721243560
136,zhaoyuan,37.3592,120.3964,296.06,97,99,0.38,CN,1721243562
137,manta,-0.95,-80.7333,300.03,74,75,4.63,EC,1721243497
138,manga,11.6636,-1.0731,299.73,82,25,3.68,BF,1721243564
139,canton,23.1167,113.25,301.12,66,33,4.05,CN,1721243565
140,uturoa,-16.7333,-151.4333,297.86,72,18,1.97,PF,1721243566
141,malvan,16.0667,73.4667,300.07,87,100,9.72,IN,1721243567
142,vadso,70.0744,29.7487,287.64,94,20,5.14,NO,1721243568
143,suncho corral,-27.9336,-63.4294,297.23,24,5,5.73,AR,1721243569
144,saynshand,44.8824,110.1163,295.64,41,11,0.81,MN,1721243570
145,taksimo,56.3444,114.8794,290.49,70,100,1.7,RU,1721243572
146,san patricio,28.017,-97.5169,307.2,42,11,4.14,US,1721243573
147,antigonish,45.6169,-61.9986,300.45,82,79,2.24,CA,1721243574
148,sinabang,2.4803,96.3801,300.19,82,100,2.4,ID,1721243575
149,al qubbah,32.7616,22.2424,297.23,63,0,7.19,LY,1721243576
150,dudinka,69.4058,86.1778,282.96,57,23,2.25,RU,1721243530
151,bilibino,68.0546,166.4372,289.66,57,100,3.25,RU,1721243578
152,susuman,62.7833,148.1667,287.09,78,84,4.68,RU,1721243579
153,malinalco,18.95,-99.5,299.46,76,100,2.23,MX,1721243580
154,saint-tropez,43.2693,6.6398,299.55,79,100,2.86,FR,1721243547
155,fort bragg,35.139,-79.006,308.23,55,20,5.14,US,1721243583
156,lulea,65.5842,22.1547,292.19,72,20,1.03,SE,1721243397
157,tolanaro,-25.0319,46.9987,293.19,94,40,0.0,MG,1721243585
158,whitehorse,60.7161,-135.0538,284.87,93,100,1.54,CA,1721243586
159,mareeba,-17.0,145.4333,282.55,75,7,1.19,AU,1721243587
160,neiafu,-18.65,-173.9833,292.53,100,20,0.0,TO,1721243588
161,campoverde,-8.4753,-74.8058,302.98,33,4,1.49,PE,1721243589
162,kirakira,-10.4544,161.9205,298.84,86,87,1.99,SB,1721243590
163,covington,39.0837,-84.5086,304.11,64,40,5.14,US,1721243591
164,basco,20.4487,121.9702,303.02,79,20,6.99,PH,1721243593
165,port augusta,-32.5,137.7667,280.91,89,0,2.59,AU,1721243595
166,campos belos,-13.0367,-46.7717,304.24,15,0,2.76,BR,1721243596
167,vilyuchinsk,52.9306,158.4028,284.3,90,100,1.07,RU,1721243597
168,praia da vitoria,38.7333,-27.0667,297.46,78,75,5.29,PT,1721243598
169,cockburn town,21.4612,-71.1419,301.6,79,1,7.91,TC,1721243599
170,howard springs,-12.497,131.047,290.83,39,100,3.76,AU,1721243600
171,kraksaan,-7.7585,113.3962,296.49,80,81,1.95,ID,1721243601
172,carlsbad,33.1581,-117.3506,302.01,74,40,3.6,US,1721243603
173,ushuaia,-54.8,-68.3,280.94,70,0,1.03,AR,1721243604
174,cabo san lucas,22.8909,-109.9124,307.32,43,0,4.63,MX,1721243605
175,san miguel,13.4833,-88.1833,306.6,50,72,1.47,SV,1721243606
176,yamada,39.4667,141.95,292.63,96,91,1.01,JP,1721243608
177,nar'yan-mar,67.6713,53.087,284.76,90,19,4.93,RU,1721243609
178,remire-montjoly,4.9167,-52.2667,303.17,74,75,4.12,GF,1721243610
179,olonkinbyen,70.9221,-8.7187,276.39,92,100,3.11,SJ,1721243613
180,salinopolis,-0.6136,-47.3561,302.18,64,16,5.19,BR,1721243614
181,udachny,66.4167,112.4,285.39,61,99,3.8,RU,1721243615
182,kristiansund,63.1115,7.732,289.18,93,75,5.14,NO,1721243541
183,bulungu,-4.55,18.6,300.79,26,95,0.65,CD,1721243617
184,san andres,12.5847,-81.7006,305.16,70,40,7.2,CO,1721243530
185,san antonio de pale,-1.4014,5.6325,295.57,85,94,5.4,GQ,1721243619
186,sarandi del yi,-33.35,-55.6333,289.48,65,69,3.63,UY,1721243620
187,tekeli,44.83,78.8239,291.75,68,100,2.82,KZ,1721243393
188,port mathurin,-19.6833,63.4167,295.28,78,61,9.82,MU,1721243623
189,twon-brass,4.3151,6.2418,298.68,86,93,7.43,NG,1721243624
190,poshekhon'ye,58.4993,39.1353,291.1,70,100,0.91,RU,1721243625
191,qaqortoq,60.7167,-46.0333,280.02,77,15,1.92,GL,1721243626
192,yanam,16.7333,82.2167,299.3,89,100,2.34,IN,1721243627
193,warwick,41.7001,-71.4162,305.84,60,40,4.63,US,1721243628
194,kuchera,26.9839,73.9719,307.76,49,58,3.86,IN,1721243629
195,lebu,-37.6167,-73.65,283.77,89,99,4.0,CL,1721243632
196,keflavik,64.0049,-22.5624,285.1,100,100,3.6,IS,1721243633
197,port elizabeth,-33.918,25.5701,287.77,87,0,1.03,ZA,1721243547
198,tayu,-6.5397,111.0518,297.5,80,0,3.95,ID,1721243635
199,jincheng,35.5022,112.8328,294.79,89,2,1.32,CN,1721243636
200,codrington,-38.2667,141.9667,282.11,75,98,4.46,AU,1721243637
201,mahina,-17.5065,-149.489,300.02,69,40,1.54,PF,1721243638
202,aasiaat,68.7098,-52.8699,278.81,70,7,2.32,GL,1721243639
203,ouani,-12.1322,44.4258,298.12,74,11,3.15,KM,1721243641
204,watertown,42.3709,-71.1828,307.06,53,0,5.66,US,1721243642
205,kingston,17.997,-76.7936,306.02,66,20,10.29,JM,1721243643
206,joao pinheiro,-17.7425,-46.1725,299.89,30,0,0.58,BR,1721243644
207,tuma,55.148,40.5537,296.21,75,100,1.88,RU,1721243645
208,kismayo,-0.3582,42.5454,297.89,84,63,7.73,SO,1721243646
209,tarashcha,49.5583,30.4926,295.95,64,98,4.17,UA,1721243647
210,puerto deseado,-47.7503,-65.8938,281.15,76,100,8.2,AR,1721243648
211,saint-louis,16.3333,-15.0,304.39,51,100,3.31,SN,1721243650
212,port hueneme,34.1478,-119.1951,304.55,73,0,4.63,US,1721243651
213,turpan,42.9333,89.1667,309.0,23,0,1.01,CN,1721243652
214,takeo,10.9167,104.8333,297.68,89,100,3.23,KH,1721243653
215,vilhena,-12.7406,-60.1458,304.41,21,100,2.09,BR,1721243654
216,vila velha,-20.3297,-40.2925,297.12,84,20,4.63,BR,1721243655
217,lamar,33.6668,-95.5836,303.14,43,100,1.21,US,1721243656
218,as safirah,36.077,37.3725,300.99,61,0,7.57,SY,1721243657
219,somoto,13.4808,-86.5821,302.62,54,30,4.76,NI,1721243658
220,auki,-8.7676,160.7034,298.02,85,100,1.72,SB,1721243660
221,waingapu,-9.6567,120.2641,296.7,85,57,7.77,ID,1721243661
222,yuzhno-kurilsk,44.0306,145.8556,289.59,96,24,1.22,RU,1721243662
223,sao jose da coroa grande,-8.8978,-35.1478,298.9,74,4,5.97,BR,1721243663
224,prince rupert,54.3161,-130.3201,294.2,60,100,7.72,CA,1721243664
